#{"t_start": 1744093429.7673395, "env_id": "None"}
r,l,t
-260.0,2,44.387944
-280.0,3,44.404915
-260.0,2,44.405908
-260.0,2,44.407965
-260.0,2,44.411776
-260.0,2,44.423097
-260.0,2,44.424742
-260.0,2,44.43335
-260.0,2,44.43538
-260.0,2,45.29968
-260.0,2,45.307474
-260.0,2,45.311716
-260.0,2,45.314211
-260.0,2,45.319146
-260.0,2,45.329667
-260.0,2,45.336581
-280.0,3,45.343569
-280.0,3,45.356725
-260.0,2,45.366486
-260.0,2,46.485395
-280.0,3,46.49029
-260.0,2,46.504393
-260.0,2,46.505466
-260.0,2,46.510392
-260.0,2,46.511376
-260.0,2,46.523893
-260.0,2,46.524975
-260.0,2,46.531138
-260.0,2,46.533396
-260.0,2,47.381462
-260.0,2,47.386174
-260.0,2,47.391131
-280.0,3,47.393568
-260.0,2,47.406484
-260.0,2,47.407856
-260.0,2,47.412853
-260.0,2,47.414864
-260.0,2,47.424227
-260.0,2,47.425419
-280.0,3,48.194628
-260.0,2,48.201341
-320.0,5,48.212244
-260.0,2,48.214002
-280.0,3,48.219604
-260.0,2,48.22397
-260.0,2,48.230472
-260.0,2,48.236563
-260.0,2,48.238314
-260.0,2,48.242346
-260.0,2,49.089366
-260.0,2,49.095882
-260.0,2,49.09797
-260.0,2,49.103377
-260.0,2,49.110044
-260.0,2,49.118392
-260.0,2,49.119833
-260.0,2,49.124414
-260.0,2,49.134691
-260.0,2,49.139426
-260.0,2,50.197281
-260.0,2,50.203552
-260.0,2,50.210641
-260.0,2,50.21823
-260.0,2,50.219297
-260.0,2,50.223305
-260.0,2,50.234383
-260.0,2,50.240677
-280.0,3,50.24236
-260.0,2,50.249631
-260.0,2,51.138716
-320.0,5,51.151539
-260.0,2,51.153517
-260.0,2,51.157552
-260.0,2,51.164884
-260.0,2,51.171038
-280.0,3,51.174296
-280.0,3,51.181378
-260.0,2,51.192685
-260.0,2,51.193694
-280.0,3,52.003976
-260.0,2,52.004997
-260.0,2,52.016535
-260.0,2,52.018151
-260.0,2,52.022368
-260.0,2,52.025122
-260.0,2,52.036265
-260.0,2,52.037261
-260.0,2,52.040884
-260.0,2,52.042956
-260.0,2,52.923047
-260.0,2,52.925045
-260.0,2,52.930884
-260.0,2,52.932447
-260.0,2,52.941122
-260.0,2,52.941122
-260.0,2,52.95105
-260.0,2,52.952337
-260.0,2,52.95713
-260.0,2,52.962294
-260.0,2,53.91648
-260.0,2,53.919105
-260.0,2,53.931271
-260.0,2,53.933599
-260.0,2,53.939282
-260.0,2,53.94088
-260.0,2,53.953504
-280.0,3,53.958835
-260.0,2,53.958835
-260.0,2,53.9687
-260.0,2,54.967926
-260.0,2,54.974511
-300.0,4,54.981932
-260.0,2,54.983968
-260.0,2,54.994092
-260.0,2,54.994598
-260.0,2,55.001605
-260.0,2,55.002872
-260.0,2,55.013264
-260.0,2,55.015462
-260.0,2,56.061852
-280.0,3,56.064507
-260.0,2,56.071641
-260.0,2,56.074766
-260.0,2,56.07937
-260.0,2,56.080639
-260.0,2,56.087994
-280.0,3,56.096971
-260.0,2,56.099066
-260.0,2,56.103267
-260.0,2,56.90231
-260.0,2,56.911716
-260.0,2,56.91327
-400.0,9,56.926185
-260.0,2,56.937547
-260.0,2,56.938519
-260.0,2,56.942528
-260.0,2,56.944378
-260.0,2,56.955272
-280.0,3,56.959439
-260.0,2,57.86563
-260.0,2,57.871336
-260.0,2,57.882365
-300.0,4,57.887901
-260.0,2,57.893028
-260.0,2,57.894303
-280.0,3,57.906712
-260.0,2,57.908873
-260.0,2,57.915779
-260.0,2,57.917861
-260.0,2,58.759458
-260.0,2,58.763769
-260.0,2,58.769095
-260.0,2,58.770246
-280.0,3,58.781469
-260.0,2,58.788028
-260.0,2,58.789175
-260.0,2,58.792927
-260.0,2,58.801815
-260.0,2,58.807262
-260.0,2,59.612283
-260.0,2,59.617563
-260.0,2,59.625524
-280.0,3,59.632128
-280.0,3,59.639438
-300.0,4,59.644462
-260.0,2,59.649501
-260.0,2,59.656133
-260.0,2,59.657133
-260.0,2,59.663777
-260.0,2,60.479553
-260.0,2,60.485645
-260.0,2,60.487443
-260.0,2,60.491511
-260.0,2,60.497114
-260.0,2,60.498877
-260.0,2,60.498877
-260.0,2,60.507463
-260.0,2,60.512415
-260.0,2,60.519535
-260.0,2,61.37758
-260.0,2,61.384122
-260.0,2,61.39145
-300.0,4,61.396469
-300.0,4,61.402117
-280.0,3,61.408252
-260.0,2,61.412973
-260.0,2,61.419995
-260.0,2,61.420993
-280.0,3,61.425262
-260.0,2,62.221932
-280.0,3,62.227235
-260.0,2,62.234081
-260.0,2,62.235054
-260.0,2,62.247563
-260.0,2,62.250554
-260.0,2,62.256658
-260.0,2,62.257668
-260.0,2,62.270501
-260.0,2,62.271509
-260.0,2,63.148722
-260.0,2,63.14996
-260.0,2,63.157993
-260.0,2,63.161514
-260.0,2,63.167641
-260.0,2,63.1695
-260.0,2,63.179571
-260.0,2,63.179571
-260.0,2,63.186432
-280.0,3,63.190266
-260.0,2,64.369814
-280.0,3,64.377038
-260.0,2,64.378894
-260.0,2,64.385468
-260.0,2,64.391421
-260.0,2,64.39669
-260.0,2,64.3977
-260.0,2,64.4041
-260.0,2,64.411108
-260.0,2,64.418426
-260.0,2,65.225894
-260.0,2,65.226985
-260.0,2,65.236675
-260.0,2,65.239802
-260.0,2,65.242153
-260.0,2,65.246675
-260.0,2,65.25448
-300.0,4,65.261065
-260.0,2,65.267933
-280.0,3,65.27227
-260.0,2,66.088721
-260.0,2,66.095214
-260.0,2,66.098401
-320.0,5,66.104331
-260.0,2,66.119036
-260.0,2,66.1206
-280.0,3,66.12625
-260.0,2,66.13126
-260.0,2,66.138771
-260.0,2,66.142629
-260.0,2,67.04419
-300.0,4,67.051715
-260.0,2,67.066947
-260.0,2,67.066947
-260.0,2,67.074635
-260.0,2,67.076673
-260.0,2,67.090337
-260.0,2,67.091715
-260.0,2,67.098013
-260.0,2,67.100554
-260.0,2,68.054794
-260.0,2,68.056262
-280.0,3,68.061668
-300.0,4,68.069425
-260.0,2,68.075516
-260.0,2,68.081596
-260.0,2,68.083248
-260.0,2,68.088353
-260.0,2,68.096217
-260.0,2,68.104143
-260.0,2,68.958097
-260.0,2,68.958097
-260.0,2,68.969925
-260.0,2,68.975056
-280.0,3,68.9818
-260.0,2,68.98396
-260.0,2,68.994156
-260.0,2,68.995121
-260.0,2,69.001204
-260.0,2,69.002882
-260.0,2,69.849488
-260.0,2,69.851173
-280.0,3,69.854283
-260.0,2,69.856559
-260.0,2,69.866305
-280.0,3,69.871803
-280.0,3,69.873084
-260.0,2,69.876819
-260.0,2,69.884877
-260.0,2,69.890007
-260.0,2,70.655599
-260.0,2,70.66111
-260.0,2,70.668473
-260.0,2,70.671656
-260.0,2,70.672884
-260.0,2,70.676264
-260.0,2,70.684265
-260.0,2,70.687949
-260.0,2,70.689794
-260.0,2,70.694204
-260.0,2,71.532263
-260.0,2,71.53902
-260.0,2,71.540356
-280.0,3,71.546319
-260.0,2,71.560429
-260.0,2,71.561397
-280.0,3,71.569486
-260.0,2,71.570487
-360.0,7,71.591491
-260.0,2,71.596639
-260.0,2,72.753512
