# reward,episode_length,on_time,off_time
-2.690288925170898438e+01,4.400000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.814189910888671875e+01,2.900000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-2.756777954101562500e+01,3.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.108487510681152344e+01,1.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-2.437982749938964844e+01,1.900000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.637858581542968750e+01,2.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.970412635803222656e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.868773269653320312e+01,3.300000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-5.962709045410156250e+01,2.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-2.364636421203613281e+01,5.500000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-5.543210983276367188e+01,2.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-3.289622497558593750e+01,1.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-2.391028213500976562e+01,3.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-7.329521179199218750e+01,2.500000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-5.947135925292968750e+00,7.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.274773311614990234e+01,2.900000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-2.947379302978515625e+01,1.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-3.899488830566406250e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-4.373242187500000000e+01,3.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.310177612304687500e+01,4.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.861327362060546875e+01,3.400000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.861327362060546875e+01,2.200000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
1.362054290771484375e+02,2.400000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.117551231384277344e+01,3.300000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-8.502651214599609375e+00,2.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.310177612304687500e+01,4.300000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
2.005782165527343750e+02,4.700000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-9.381021118164062500e+01,2.900000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-4.311452484130859375e+01,2.700000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.866528701782226562e+01,3.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.674236679077148438e+01,4.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-7.583034515380859375e+01,3.500000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-1.465924263000488281e+01,2.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-3.310177612304687500e+01,2.900000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-2.686763954162597656e+01,2.200000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-2.851517868041992188e+01,1.900000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.603769683837890625e+01,3.700000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.540436553955078125e+01,3.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
1.831800994873046875e+02,2.700000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-3.310177612304687500e+01,1.600000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-7.113357543945312500e+01,3.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-2.379031753540039062e+01,2.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
